"Arkansas Pine Bluff","Alabama"
"Ball State","Southern Illinois"
"Southwest College","Arkansas Little Rock"
"Chicago St.","Illinois State"
"Washburn University","Kansas"
"Sam Houston State","South Alabama"
"Evansville","Wisconsin Green Bay"
"Eastern Washington","Michigan State"
"Georgia St.","Alabama A&M"
"California Santa Barbara","Brigham Young"
"Army","Duke"
"Valparaiso","Ohio State"
"Colgate","Northern Arizona"
"Colorado Springs","Utah State"
"Cal State Northridge","UNLV"
"Texas Christian","Minnesota"
"Missouri","Syracuse"
"Cal State Fullerton","California Riverside"
"San Diego","Hawaii"
"Robert Morris College","Missouri Kansas City"
"Appalachian State","Hawaii Hilo"
"Cleveland St.","Southeast Missouri State"
"Birmingham Southern","Texas A&M"
"Green Mountain","Albany NY"
"Central Florida","Hawaii Pacific"
"Texas Southern","Illinois"
"San Francisco","Montana State Bozeman"
"Hampton","Radford"
"California Poly State","Texas A&M Corpus Chris"
"Texas Arlington","Wichita State"
"Providence","Auburn"
"Duquesne","Siena College"
"Toledo","Creighton"
"Cal State Long Beach","Tulane"
"San Jose State","Saint Mary's CA"
"Towson State","Villanova"
"College of Charleston","Texas Christian"
"Saint Joseph's PA","Colorado"
"Oregon State","Oklahoma"
"Georgetown University","Minnesota"
"Southeast Louisiana","Elon College"
"Alabama State","Florida A&M"
"Ball State","Butler University"
"Detroit","Marshall"
"Bowling Green State","North Carolina Wilmington"
"Saint Francis PA","Niagara"
"Central Connecticut State","Long Island"
"Toccoa Falls","Wofford College"
"Indiana Southeast","Indiana Purdue"
"Monmouth NJ","Drexel"
"Florida Atlantic","Florida"
"Ferrum College","Citadel"
"Drew","Bucknell University"
"Stetson","Charleston Southern"
"Savannah State","Jacksonville FL"
"Delaware","Loyola MD"
"Coast Guard","Navy"
"Rider","Sacred Heart"
"Austin Peay","Tennessee"
"Cumberland TN","Belmont"
"Wisconsin Milwaukee","Bethune-Cookman College"
"Albright","Lafayette College"
"Louisiana Tech","Nicholls State"
"Saint Peter's","Seton Hall"
"St. Mary's (MD)","Western Carolina"
"Middle Tennessee State","Kansas"
"Iowa State","Northern Iowa"
"Delaware State","Drake"
"Tennessee Tech","Loyola (Chicago)"
"Southern Cal College","Oral Roberts"
"Western Illinois","Eastern Illinois"
"Schreiner","Texas Pan American"
"Alcorn State","New Mexico"
"Winthrop","Nebraska"
"Arkansas Pine Bluff","New Mexico State"
"Denver","Wyoming"
"Southern Virginia","Southern Utah"
"San Diego State","Fresno State"
"Montana","Pacific"
"Maine","Prairie View"
"Pennsylvania","Davidson College"
"Tennessee State","Kansas State"
"Wake Forest","Michigan"
"Manhattan","Hartford"
"Dartmouth College","Holy Cross College"
"Campbell","High Point"
"Swarthmore College","Lehigh"
"Harvard","Northeastern"
"Binghamton","Quinnipiac"
"Liberty","Virginia Tech"
"Alabama A&M","Wright St."
"Western Michigan","Youngstown State"
"Northwestern","Clemson"
"Brown University","Connecticut"
"Miami (Florida)","UNC Charlotte"
"George Washington","South Florida"
"Marist College","Boston College"
"George Mason","Coppin St."
"North Carolina Asheville","East Tennessee State"
"Capital University","Eastern Kentucky"
"Coastal Carolina","Georgia"
"Saint Francis (NY)","Iona College"
"Colgate","Syracuse"
"MD Eastern Shore","Towson State"
"North Carolina A&T","Virginia Commonwealth"
"Samford","Xavier (OH)"
"LSU","Houston"
"South Alabama","Southern Mississippi"
"Alabama Birmingham","Texas Tech"
"Colorado Springs","Murray State"
"Le Tourneau","Sam Houston State"
"Texas San Antonio","Texas"
"Texas A&M Corpus Chris","Southwest Texas State"
"Southern University","New Orleans"
"Louisiana Monroe","Mississippi"
"Vanderbilt","Western Kentucky"
"Tennessee Wesleyan","Tennessee Chattanooga"
"Centenary","Arkansas"
"Oklahoma State","North Texas"
"Stephen F Austin","Rice"
"Loyola Marymount","Colorado"
"Illinois","Duke"
"Cal State Sacramento","Colorado State"
"Cardinal Stritch","Utah"
"Northern Arizona","Air Force"
"West Virginia","Duquesne"
"Georgia Tech","Iowa"
"Portland","Oregon"
"Portland State","Washington"
"Pepperdine","Cal State Fullerton"
"California Poly Ponoma","Cal State Northridge"
"Arkansas Little Rock","Morris Brown College"
"Cornell","Army"
"Maryland","Wisconsin"
"Bradley","Georgia St."
"Mercer","South Carolina"
"Wisconsin Green Bay","Eastern Michigan"
"St. Bonaventure","Kent State"
"Detroit","Toledo"
"Radford","James Madison"
"Pittsburgh","Saint Francis PA"
"William & Mary","Wofford College"
"Howard University","Virginia Military"
"SUNY Stony Brook","New Hampshire"
"Belmont","East Carolina"
"Purdue","Virginia"
"Bucknell University","American University"
"Cincinnati","Dayton"
"Hampton","Norfolk State College"
"Rider","Rutgers"
"Florida Tech","Jacksonville FL"
"North Carolina","Michigan State"
"Florida International","Providence"
"Charleston Southern","Furman"
"Loyola (Chicago)","Chicago St."
"Minnesota","Florida State"
"Northern Illinois","Illinois Chicago"
"Old Dominion","Saint Joseph's PA"
"Columbia","Lafayette College"
"Tennessee Martin","Memphis"
"Southeast Missouri State","Mississippi Valley State"
"Delaware State","Missouri Kansas City"
"Loyola (New Orleans)","Nicholls State"
"Morris Brown College","Texas A&M"
"Valparaiso","Wisconsin Milwaukee"
"Central Michigan","Drake"
"Indiana","Indiana State"
"Arkansas Pine Bluff","Texas El Paso"
"California","St. Louis"
"McKendree College","Eastern Illinois"
"Georgia Southern","Evansville"
"Eastern New Mexico","New Mexico"
"Southern Methodist","New Mexico State"
"Utah State","Idaho State"
"Penn State","North Carolina State"
"Gonzaga","Arizona"
"San Diego","California Irvine"
"Washington State","Idaho"
"Arkansas State","Nevada Reno"
"California Santa Barbara","UCLA"
"California Riverside","Stanford"
"Santa Clara","San Jose State"
"Canisius College","Buffalo"
"Ithaca College","Colgate"
"Colorado State","Yale"
"Temple","Miami (Ohio)"
"Youngstown State","Oakland MI"
"FDU Madison","Wagner College"
"Quinnipiac","Saint Francis (NY)"
"Albany NY","Vermont"
"Campbell","Elon College"
"Houston","Connecticut"
"Appalachian State","Liberty"
"Alaska Fairbanks","Maine"
"Delaware","Hofstra"
"Monmouth NJ","Sacred Heart"
"Robert Morris College","Mount St. Mary's"
"North Carolina Asheville","Tennessee"
"Carnegie Mellon","Davidson College"
"Florida A&M","Troy State"
"Louisiana Monroe","Xavier (OH)"
"Louisville","Alabama"
"Illinois State","Kansas"
"Alabama A&M","Mississippi State"
"Washington","Wichita State"
"Texas Pan American","Northern Iowa"
"Southern Utah","Oral Roberts"
"Central Connecticut State","Hartford"
"Navy","Denver"
"Brigham Young","San Francisco"
"California State Monterey Bay","California Poly State"
"Boise State","Portland State"
"Florida Atlantic","San Diego State"
"Pacific","Fresno State"
"Weber State College","Princeton"
"Kent State","Cal State Northridge"
"Fairfield","Virginia Tech"
"Valdosta State","Georgia St."
"Southern Mississippi","Western Illinois"
"Yale","Hartford"
"Santa Clara","Tulsa"
"Anderson University","Ball State"
"Manhattan","Holy Cross College"
"NC Greensboro","Northeastern"
"Sam Houston State","Texas A&M Corpus Chris"
"South Alabama","Auburn"
"Akron","Syracuse"
"Colorado State","Central Connecticut State"
"Southern University","Iowa State"
"Centenary","Marquette"
"Tennessee Chattanooga","Iowa"
"Creighton","Wyoming"
"North Texas","Southwest Missouri State"
"Loyola (New Orleans)","New Orleans"
"Coppin St.","Texas Southern"
"Alabama State","North Carolina A&T"
"Tennessee Chattanooga","Santa Clara"
"Cleveland St.","Siena College"
"Arkansas Little Rock","Baylor University"
"Nicholls State","Georgetown University"
"Wofford College","Boston College"
"Mississippi Valley State","Northwestern"
"Stetson","Samford"
"Idaho","St. Louis"
"Binghamton","Colgate"
"Texas A&M","Virginia Commonwealth"
"Fresno State","San Francisco"
"UNLV","Oklahoma State"
"Louisiana Tech","Bradley"
"Boise State","Portland"
"Northern Arizona","California Poly State"
"Westmont","California Santa Barbara"
"DePaul","Florida"
"La Salle University","Seton Hall"
"Southern Illinois","Indiana"
"Illinois","Kansas State"
"Western Carolina","Clemson"
"Michigan","Maryland"
"Richmond","Mississippi State"
"Pennsylvania","Penn State"
"Florida International","St. Bonaventure"
"Virginia Military","Howard University"
"FDU Madison","Sacred Heart"
"Quinnipiac","Long Island"
"Texas Pan American","Missouri"
"Xavier (OH)","Wisconsin"
"Furman","Bethune-Cookman College"
"South Florida","Fordham"
"Memphis","Arkansas"
"Tulane","Southern Methodist"
"Georgia Tech","UCLA"
"Duquesne","Bowling Green State"
"Kentucky","North Carolina"
"Saint John's NY","George Washington"
"Marshall","Dayton"
"Davidson College","Elon College"
"Eastern Kentucky","Ohio State"
"Lafayette College","Rider"
"Oakland MI","Chicago St."
"Appalachian State","Purdue"
"Tennessee","West Virginia"
"Murray State","Detroit"
"Anderson University","Weber State College"
"Southern Utah","Missouri Kansas City"
"Utah","Southern California"
"Brigham Young","Arizona State"
"Akron","Fairfield"
"Southwest Texas State","Texas"
"Coppin St.","Alabama State"
"Southern University","Western Illinois"
"Centenary","Kent State"
"Princeton","Ball State"
"Duke","Temple"
"Notre Dame","Vanderbilt"
"Bluefield St.","High Point"
"Florida Atlantic","Troy State"
"Jacksonville FL","Jacksonville State"
"Central Florida","Mercer"
"Robert Morris College","MD Baltimore County"
"Wagner College","Monmouth NJ"
"Citadel","William & Mary"
"Army","SUNY Stony Brook"
"Loyola (Chicago)","Canisius College"
"George Mason","Toledo"
"Wisconsin Green Bay","Miami (Ohio)"
"North Texas","Texas A&M Corpus Chris"
"Austin Peay","Indiana State"
"Illinois Chicago","Michigan State"
"Nebraska","Pittsburgh"
"Rhode Island","Providence"
"Columbia","Villanova"
"Brewton-Parker","Charleston Southern"
"Bucknell University","Iona College"
"Western Michigan","Marist College"
"South Carolina State","Wake Forest"
"East Tennessee State","Morehead State"
"Saint Francis PA","Mount St. Mary's"
"Delaware State","Lehigh"
"Belmont","Georgia Southern"
"Harvard","Albany NY"
"James Madison","Rutgers"
"South Carolina","UNC Charlotte"
"North Carolina State","Old Dominion"
"American University","Coastal Carolina"
"North Carolina Wilmington","Valparaiso"
"Middle Tennessee State","Indiana Purdue"
"Stephen F Austin","Texas Tech"
"Eastern Illinois","Arkansas State"
"New Hampshire","Connecticut"
"Loyola (New Orleans)","McNeese State"
"Eastern Michigan","Tennessee Tech"
"Loyola MD","Towson State"
"Texas Christian","Texas San Antonio"
"Wright St.","Tennessee State"
"Rice","Lamar"
"Virginia Tech","Syracuse"
"Saint Mary's CA","Arizona"
"Washington","Gonzaga"
"Jackson State","Northern Iowa"
"Youngstown State","Oral Roberts"
"Butler University","Evansville"
"Southern Mississippi","Iowa State"
"Western Kentucky","New Mexico"
"Texas Southern","North Carolina A&T"
"Cal State Northridge","Marquette"
"Oklahoma","Mississippi"
"Tulsa","Iowa"
"Texas El Paso","New Mexico State"
"Navy","Air Force"
"Southeast Louisiana","Montana"
"Loyola Marymount","Idaho State"
"Sam Houston State","Southwest Missouri State"
"Notre Dame (CA)","Cal State Fullerton"
"Cal State Sacramento","San Diego State"
"California","California Irvine"
"Oregon State","San Diego"
"Stanford","Cal State Long Beach"
"San Jose State","Eastern Washington"
"Massachusetts","Oregon"
"Ohio University","Niagara"
"East Carolina","Radford"
"Delaware","Drexel"
"Pepperdine","Georgia"
"Brown University","Denver"
"Michigan","Saint John's NY"
"NC Greensboro","Saint Peter's"
"Illinois State","Central Michigan"
"Wyoming","Montana State Bozeman"
"Nevada Reno","Portland State"
"Maryland","George Washington"
"Georgia Southern","Winthrop"
"Texas Arlington","Colorado"
"Mercer","Stetson"
"Furman","Florida State"
"Jacksonville State","Campbell"
"Middle Tennessee State","Rice"
"Miami (Florida)","North Carolina"
"Wisconsin Milwaukee","Chicago St."
"Averett","Elon College"
"Radford","High Point"
"Towson State","Long Island"
"Western Carolina","North Carolina Asheville"
"Colgate","Yale"
"Holy Cross College","Boston College"
"Skidmore","Cornell"
"Norfolk State College","Seton Hall"
"Virginia","Virginia Military"
"South Carolina State","Delaware State"
"Saint Francis PA","MD Baltimore County"
"Louisiana Lafayette","Auburn"
"Coppin St.","Florida A&M"
"Morgan State","Bethune-Cookman College"
"Webster","Tennessee Martin"
"St. Bonaventure","Niagara"
"Morris Brown College","Minnesota"
"Grambling","Alabama"
"Texas Pan American","Arkansas State"
"Oakland City","Austin Peay"
"Wright St.","South Alabama"
"Tennessee State","Wichita State"
"Samford","Georgia St."
