"Iowa State","Iowa"
"Peru State","Iowa Wesleyan"
"Florida Atlantic","James Madison"
"South Dakota Tech","Jamestown"
"Missouri State","Kansas"
"Eastern Illinois","Kansas State"
"California Poly State","Kent State"
"Indiana","Kentucky"
"Moravian College","Kings College"
"Carroll WI","Knox College"
"Fairfield","La Salle University"
"Towson State","Lafayette College"
"Grinnell College","Lake Forest College"
"Carthage College","Lakeland College"
"Bethel TN","Lambuth"
"Fort Valley State","Lane College"
"Lycoming College","Lebanon Valley College"
"Saint Joseph's IN","Lincoln MO"
"Culver-Stockton","Lindenwood University"
"Kutztown University","Lock Haven University"
"Tulsa","Louisiana Tech"
"Miami (Ohio)","LSU"
"Minnesota Morris","Luther College"
"Trinity Bible College","Macalester College"
"Mount Ida College","Maine Maritime"
"Earlham College","Manchester College"
"Northwestern MN","Marantha Baptist"
"Canisius College","Marist College"
"Saint Augustine's","Mars Hill College"
"Willamette Oregon","Mary Hardin-Baylor"
"Florida State","Maryland"
"Rhodes College","Maryville College"
"American International","Massachusetts"
"Bentley College","Merrimack College"
"Guilford College","Methodist College"
"California","Michigan State"
"Clarion University","Millersville"
"Wisconsin Stout","Millsaps College"
"Northwest Missouri State","Minnesota State Mankato"
"Toledo","Minnesota"
"Jacksonville State","Mississippi State"
"Delta State","Mississippi Valley State"
"Central Methodist","Missouri Valley"
"Drake","Missouri Rolla"
"Framingham State","MIT"
"Sacred Heart","Monmouth NJ"
"Northern Colorado","Montana"
"Adams State","Montana State Bozeman"
"Kentucky State","Morehead State"
"Tusculum College","Morehouse College"
"Florida A&M","Morgan State"
"Northwestern IA","Morningside"
"Bethune-Cookman College","Morris Brown College"
"California Lutheran","Muhlenberg College"
"Southern Illinois","Murray State"
"Missouri Southern","Northeastern State"
"Midland Lutheran","Nebraska Wesleyan"
"Midwestern State","Nebraska Omaha"
"Brigham Young","Nevada Reno"
"Hofstra","New Hampshire"
"Carson Newman","New Haven"
"SUNY Brockport","Jersey City State"
"Baylor University","New Mexico"
"Eastern New Mexico","New Mexico Highlands"
"Bridgewater State MA","Nichols College"
"Savannah State","Norfolk State College"
"Texas","North Carolina"
"Wake Forest","North Carolina State"
"Colorado Mesa","North Dakota"
"Newberry College","North Greenville"
"Sam Houston State","Northern Arizona"
"Mercyhurst College","Northern Michigan"
"Saint Cloud State","Northern State"
"Duke","Northwestern"
"Merchant Marine","Norwich"
"Michigan","Notre Dame"
"West Texas A&M","Northwest Oklahoma"
"Wisconsin Stevens Point","Ohio Northern"
"Washington State","Ohio State"
"Texas El Paso","Oklahoma"
"UCLA","Oklahoma State"
"Ohio Wesleyan","Olivet College"
"Idaho","Oregon"
"UNLV","Oregon State"
"Benedictine KS","Ottawa University"
"Stonehill College","Pace University"
"Azusa Pacific","Pacific Lutheran"
"Nebraska","Penn State"
"Bacone","Pittsburg State"
"North Carolina A&T","Portland State"
"Charleston Southern","Presbyterian College"
"Western Michigan","Purdue"
"Linfield College","Redlands"
"Monmouth College IL","Ripon College"
"Wisconsin Lutheran","Rockford College"
"Montana State Northern","Rocky Mountain"
"Utica","Rensselaer"
"Army","Rutgers"
"Michigan Tech","Saginaw Valley State"
"William Paterson College","Salisbury State"
"Western Connecticut State","Salve Regina"
"Nicholls State","Samford"
"LaVerne","San Diego"
"Arizona State","San Diego State"
"East Texas Baptist","Southeastern Oklahoma State"
"Rose-Hulman","Sewanee"
"Virginia Union","Shepherd College"
"Bloomsburg University","Shippensburg"
"Duquesne","Siena College"
"Georgia","South Carolina"
"Wofford College","South Carolina State"
"Minnesota Duluth","South Dakota"
"Chadron State College","South Dakota State"
"Memphis","Southern Mississippi"
"William Penn College","Southern Nazarene"
"Augustana SD","Southwest State"
"Kansas Wesleyan","Saint Ambrose"
"Saint Peter's","Saint Francis PA"
"Rochester","Saint John Fisher"
"Hamline University","Saint John's MN"
"Bucknell University","Saint Mary's CA"
"Beloit College","Saint Norbert College"
"Bethel MN","Saint Thomas MN"
"Concordia IL","Saint Xavier"
"San Jose State","Stanford"
"Henderson State","Stephen F Austin"
"Livingstone College","Stillman College"
"Saint John's NY","SUNY Stony Brook"
"College of New Jersey","Cortland State"
"McDaniel College","Susquehanna"
"Panhandle State Oklahoma","Southwestern Oklahoma State"
"Rhode Island","Syracuse"
"Assembly Of God","Tabor"
"Southern Arkansas","Texas A&M Commerce"
"Prairie View","Texas A&M Kingsville"
"Southern Methodist","Texas Christian"
"Miami (Florida)","Temple"
"Jackson State","Tennessee State"
"Tennessee Chattanooga","Tennessee Tech"
"Trinity University TX","Texas Lutheran"
"Mississippi","Texas Tech"
"Delaware","Citadel"
"Geneva","Thiel College"
"Saint Francis IN","Tiffin"
"Albion College","Tri-State IN"
"Southern Utah","Troy"
"Quincy","Truman State"
"Benedict College","Tuskegee University"
"Abilene Christian","California Davis"
"McNeese State","Louisiana Monroe"
"Saint Anselm","Massachusetts Lowell"
"Concord","Union College KY"
"Saint Lawrence","Union College NY"
"Wittenberg","Urbana"
"Idaho State","Utah State"
"Illinois Wesleyan","Wisconsin La Crosse"
"Dakota State","Valley City State"
"Campbellsville","Valparaiso"
"Maine","Villanova"
